Marital status;Immigrants improve american society  ;R experienced sexual harassment;Homosexuals should have right to marry;Have ever legally adopted a child;What is your relationship situation;Has r avoided travel to certain cities;Number of adult owing a gun in household;Should gun control law be stricter after 911 ;Should background check be required for private gun sale;Think yourself as a feminist?  ;Should abortion ever be legal;Pregnant as result of rape;Does r smoke;Age of respondent;Sexual orientation
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;46;Not applicable
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;43;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;27;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;36;Heterosexual or straight
Never married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;26;Heterosexual or straight
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Not applicable
Never married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;23;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;27;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;21;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;23;Bisexual
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;67;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;36;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;28;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;39;Not applicable
Separated;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;47;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;30;Gay, lesbian, or homosexual
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Heterosexual or straight
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;60;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;66;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;60;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;31;Not applicable
Married;Not applicable;Not applicable;No answer;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;68;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;66;Heterosexual or straight
Separated;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;38;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;81;Not applicable
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;56;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;42;Heterosexual or straight
Widowed;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;73;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;24;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;26;Not applicable
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;19;Bisexual
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;31;Heterosexual or straight
Widowed;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;74;Not applicable
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;60;Heterosexual or straight
Widowed;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;84;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;33;Heterosexual or straight
Married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;40;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;59;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;19;Heterosexual or straight
Divorced;Not applicable;Not applicable;No answer;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No answer;Not applicable;61;Not applicable
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;48;Heterosexual or straight
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;54;Not applicable
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;41;Heterosexual or straight
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;34;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;19;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;51;Not applicable
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;32;Heterosexual or straight
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;64;Not applicable
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;41;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;80;Heterosexual or straight
Separated;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;36;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;28;Heterosexual or straight
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;41;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;46;Not applicable
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;45;Not applicable
Never married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;35;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;51;Heterosexual or straight
Widowed;Not applicable;Not applicable;Cant choose;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;76;Not applicable
Never married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;26;Heterosexual or straight
Never married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;31;Not applicable
Separated;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;62;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;19;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;18;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;55;Heterosexual or straight
Divorced;Not applicable;Not applicable;No answer;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Not applicable
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;59;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;67;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;31;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;58;No answer
Widowed;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;58;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;83;Not applicable
Widowed;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;76;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;27;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;72;Heterosexual or straight
Married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;58;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;19;Not applicable
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;69;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;52;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;65;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;63;Heterosexual or straight
Married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;49;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;76;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;65;Heterosexual or straight
Never married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;28;Not applicable
Widowed;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;82;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;49;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;33;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;60;Heterosexual or straight
Widowed;Not applicable;Not applicable;Cant choose;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;69;Not applicable
Separated;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;39;Heterosexual or straight
Never married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;37;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;44;Heterosexual or straight
Divorced;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;36;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;43;Heterosexual or straight
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;44;Not applicable
Never married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;66;Not applicable
Separated;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;75;Not applicable
Widowed;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;73;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;61;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;58;Not applicable
Separated;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;37;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;30;Not applicable
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;44;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;48;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;57;Not applicable
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;47;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;67;Heterosexual or straight
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;70;Not applicable
Widowed;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;69;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;38;Heterosexual or straight
Never married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;25;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;39;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;55;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;27;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;21;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;59;Heterosexual or straight
Divorced;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;61;Not applicable
Divorced;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;58;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Bisexual
Widowed;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;61;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;63;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;86;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;82;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;32;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Not applicable
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No answer;Not applicable;55;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;38;Heterosexual or straight
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;39;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;19;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;45;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;23;Heterosexual or straight
Never married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;73;Not applicable
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Not applicable
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;67;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;37;Gay, lesbian, or homosexual
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;40;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;41;Gay, lesbian, or homosexual
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;65;Not applicable
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;57;Not applicable
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;37;Heterosexual or straight
Divorced;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;86;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;67;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;80;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;49;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;32;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;33;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;56;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;61;Not applicable
Divorced;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;80;Heterosexual or straight
